missing_type	missing_perc	model	drop	drop_lower	drop_upper	mean	mean_lower	mean_upper	median	median_lower	median_upper
MAR	0.05	lin	1.918277878622177e-05	1.918277878622177e-05	1.918277878622177e-05	0.008125946722039566	0.008125946722039566	0.008125946722039566	0.008128052361337769	0.008128052361337769	0.008128052361337769
MAR	0.1	lin	2.1544290908150802e-05	2.1544290908150802e-05	2.1544290908150802e-05	0.01595542347273641	0.01595542347273641	0.01595542347273641	0.01595831839308975	0.01595831839308975	0.01595831839308975
MAR	0.15000000000000002	lin	5.7004978585173586e-05	5.7004978585173586e-05	5.7004978585173586e-05	0.024696555476122727	0.024696555476122727	0.024696555476122727	0.024699394451783492	0.024699394451783492	0.024699394451783492
MAR	0.2	lin	0.004493743441300959	0.004493743441300959	0.004493743441300959	0.03371262941198635	0.03371262941198635	0.03371262941198635	0.03371590762617859	0.03371590762617859	0.03371590762617859
MAR	0.25	lin	0.0	0.0	0.0	0.04573632086790227	0.04573632086790227	0.04573632086790227	0.04574315814575786	0.04574315814575786	0.04574315814575786
MCAR	0.05	lin	2.0284452037436255e-05	2.0284452037436255e-05	2.0284452037436255e-05	0.007976170163123807	0.007976170163123807	0.007976170163123807	0.0079759943635748	0.0079759943635748	0.0079759943635748
MCAR	0.1	lin	2.2892052536478318e-05	2.2892052536478318e-05	2.2892052536478318e-05	0.015555435018304678	0.015555435018304678	0.015555435018304678	0.015555691476523298	0.015555691476523298	0.015555691476523298
MCAR	0.15000000000000002	lin	0.019618723569717444	0.019618723569717444	0.019618723569717444	0.02352382294170391	0.02352382294170391	0.02352382294170391	0.02352375095694377	0.02352375095694377	0.02352375095694377
MCAR	0.2	lin	0.0	0.0	0.0	0.031421494757240334	0.031421494757240334	0.031421494757240334	0.03142094883024196	0.03142094883024196	0.03142094883024196
MCAR	0.25	lin	0.0	0.0	0.0	0.039276156595282226	0.039276156595282226	0.039276156595282226	0.03927488323857141	0.03927488323857141	0.03927488323857141
MNAR	0.05	lin	2.0060786181952792e-05	2.0060786181952792e-05	2.0060786181952792e-05	0.07370272153150247	0.07370272153150247	0.07370272153150247	0.07037971241280379	0.07037971241280379	0.07037971241280379
MNAR	0.1	lin	1.9588629119751174e-05	1.9588629119751174e-05	1.9588629119751174e-05	0.10353619960282225	0.10353619960282225	0.10353619960282225	0.09476338882190052	0.09476338882190052	0.09476338882190052
MNAR	0.15000000000000002	lin	1.9157654077427612e-05	1.9157654077427612e-05	1.9157654077427612e-05	0.11621984381368296	0.11621984381368296	0.11621984381368296	0.10195245002521595	0.10195245002521595	0.10195245002521595
MNAR	0.2	lin	2.228266708066546e-05	2.228266708066546e-05	2.228266708066546e-05	0.11469181336860625	0.11469181336860625	0.11469181336860625	0.09595155634330818	0.09595155634330818	0.09595155634330818
MNAR	0.25	lin	3.056166541782312e-05	3.056166541782312e-05	3.056166541782312e-05	0.10941688079192427	0.10941688079192427	0.10941688079192427	0.08604813647056556	0.08604813647056556	0.08604813647056556
