missing_type	missing_rows_percentage	model	evaluation_metric	drop	drop_lower	drop_upper	mean	mean_lower	mean_upper	median	median_lower	median_upper	random	random_lower	random_upper	regression	regression_lower	regression_upper	stochastic	stochastic_lower	stochastic_upper	missing_cells_percentage
MAR	0.05	lin	ev	1.0	1.0	1.0	0.9768623102172771	0.9725706959564588	0.9797206735975624	0.9768984966238154	0.9725573194884047	0.9798180187659737	0.9621872055314714	0.9571798097094735	0.9672252179286827	0.9395209767298109	0.9324924920013759	0.9445837925276519	0.9397520727322834	0.9331742961475809	0.9446296901601261	0.024499999999999997
MAR	0.05	lin	mse	1.0406053234012062e-29	2.2368529038222887e-30	2.952494293936458e-29	0.023473729647550023	0.02021528125585763	0.02748753646197644	0.023437316646032463	0.020117600525555338	0.027501815343457293	0.03837670480058049	0.03260888034950685	0.04348112236255923	0.061358923429418656	0.0562909003119899	0.06861788285928189	0.06112041614576147	0.056032292466209235	0.06791622894831623	0.024499999999999997
MAR	0.15	lin	ev	1.0	1.0	1.0	0.9399569995064319	0.934871993976172	0.944210416168474	0.9400937598734898	0.935096697851186	0.944326105477064	0.9048106971466243	0.8987272763461703	0.9114569662968901	0.8753015534508346	0.8586204090941688	0.8873884251193191	0.8747067929325698	0.8578292033944088	0.8869665805833433	0.07399999999999998
MAR	0.15	lin	mse	6.757029520335959e-30	2.391346964942579e-30	1.4572167304131316e-29	0.060893616351613465	0.05706246343932918	0.06571880649967729	0.060756124669903364	0.05694335664413651	0.06549099427232892	0.09658007456600891	0.0905615564054992	0.10396053421360069	0.12640599761579888	0.11608838024703633	0.141473932988457	0.127016033917058	0.11653694321601811	0.14226722400410596	0.07399999999999998
MAR	0.25	lin	ev	1.0	1.0	1.0	0.9000127737784787	0.8964733986768968	0.9043730542560817	0.9001743469268281	0.8965153391129316	0.9043715909361768	0.8492216772548262	0.8423765567629701	0.8586016031373932	0.81451465858865	0.8069313128191613	0.8256535380787613	0.8135464298305595	0.8060042583547962	0.8254576655316894	0.1217
MAR	0.25	lin	mse	8.139372741789773e-30	2.3486312321992156e-30	1.6423522573479093e-29	0.10141474571994025	0.09781038153961902	0.10606137968711818	0.10125233852729429	0.09813305686478313	0.10599447900132572	0.1528701577269172	0.14686665057797224	0.15827656598005102	0.18822550043161118	0.17606310435366657	0.1969695423407638	0.18920580544973503	0.17626266357132847	0.19770460222563133	0.1217
MAR	0.35	lin	ev	1.0	1.0	1.0	0.8669737138888743	0.8604441846400964	0.8729928670352467	0.867384643572272	0.8611301866490575	0.8734441715139443	0.7981299984796856	0.784743541907484	0.8072671825864755	0.7777142702853448	0.7600362836207055	0.790648596142153	0.7769293539564056	0.759048845019656	0.7895511339918007	0.1727
MAR	0.35	lin	mse	1.028383041127606e-29	2.2110845969551366e-30	2.4983325389583525e-29	0.1350009553342975	0.12873558570260418	0.14243938831801703	0.13458716601223225	0.1282784046093976	0.14166476773112285	0.20488328945531675	0.19422957303317742	0.22015733480786542	0.22547178681980568	0.21251795643709687	0.2399065876304321	0.22626740677780402	0.2132938582020281	0.23986657524752492	0.1727
MAR	0.44999999999999996	lin	ev	1.0	1.0	1.0	0.8306964475504719	0.8216713845218503	0.8376916260660282	0.8314576671374398	0.8226319534519339	0.8381307320550808	0.7464912593462125	0.7336286065671301	0.7536848957121101	0.7129932449420409	0.6836829127562787	0.7365977672402519	0.711841671014221	0.6827378851934389	0.7335668247092215	0.22000000000000003
MAR	0.44999999999999996	lin	mse	5.6276437867786086e-30	1.732743133215013e-30	1.404772185118241e-29	0.1717305161826138	0.1663124720844883	0.1792328725976377	0.17096058929563132	0.16546623876145874	0.17826685191315278	0.2570955910832171	0.2505815804640379	0.26806476226070797	0.2910782505259445	0.26881696378084874	0.3176784780025407	0.2922404318455155	0.2708215334463719	0.31797881432145564	0.22000000000000003
MAR	0.5499999999999999	lin	ev	1.0	1.0	1.0	0.7990172589249014	0.7929660703888819	0.8076712160035945	0.7994998383105434	0.7935125539243877	0.8074759123920094	0.6943101386275611	0.6790237984312963	0.7114260162454935	0.6776434755488829	0.6524247455130925	0.7001188332231222	0.6767455516155433	0.6519137592718605	0.6990673722442702	0.2686
MAR	0.5499999999999999	lin	mse	8.597117053438691e-30	1.7886721260523067e-30	2.676030236163592e-29	0.20387467941989984	0.19617331752394107	0.2114179764244375	0.2033903281499692	0.19601901033925226	0.21039266371370474	0.3100199051987982	0.2952701969037447	0.3217371199559753	0.3267608004727307	0.3091393420450188	0.3455382448399439	0.3276655093289409	0.3105505000285248	0.3454468183478051	0.2686
MAR	0.65	lin	ev	1.0	1.0	1.0	0.7667491701333435	0.7588531365510478	0.7773153151439076	0.767308311943005	0.7590395225918156	0.7776517671653222	0.6420900864546295	0.6305990764860827	0.6517821880835966	0.6302276175936585	0.6094331256083595	0.6603389231096981	0.6292415168500188	0.608954189808075	0.6593107073232936	0.31770000000000004
MAR	0.65	lin	mse	9.432933389298997e-30	1.7953963874221723e-30	2.995196348798883e-29	0.2366713128747437	0.22623531355845794	0.24390605323320325	0.2361036705243794	0.22584194936504404	0.24337562126924722	0.3631440505839129	0.34803257437981605	0.3744179672579537	0.37501692125021824	0.34769188812730556	0.3970380830964031	0.37601772917193077	0.348725313394858	0.398142902351973	0.31770000000000004
MAR	0.75	lin	ev	1.0	1.0	1.0	0.7380216895716378	0.7251375028456851	0.7502226538475538	0.7385164651023226	0.7252980862912752	0.750624235793034	0.6004303958783755	0.5882002100143802	0.61590908190049	0.5846807170762243	0.5681812391028769	0.605200419521012	0.5844754523284905	0.5680375880292396	0.6043099616483459	0.3664
MAR	0.75	lin	mse	1.0603825563884435e-29	1.5897805423610422e-30	3.1733435168955184e-29	0.2657562061852558	0.25372830527072593	0.2762168908757203	0.2652524446213559	0.2533219276155697	0.27604872790536206	0.4054661031667788	0.38746777757213796	0.4164719969162524	0.4212907076723139	0.40328291186039883	0.4374040141278186	0.42149301839226627	0.4041815489982975	0.4376618957296058	0.3664
MAR	0.85	lin	ev	1.0	1.0	1.0	0.7208748932439214	0.7115150542183875	0.7345463937071801	0.7217024075462789	0.712931549972102	0.7351315669513256	0.5558263254532397	0.5353164740183111	0.573400602994261	0.5334279170778737	0.5161823336621978	0.546284425827506	0.5333016701943372	0.5160455811106353	0.5463704869494743	0.4157
MAR	0.85	lin	mse	6.1136000396043504e-30	2.4881322556100458e-30	1.0325607189741619e-29	0.2831645826712642	0.27150227336637434	0.29320809569126927	0.2823284373284759	0.270906054598281	0.29176479374728603	0.4507154403989979	0.4326356656954119	0.47365741469205425	0.4732729329773927	0.46267901441497505	0.48867681729548773	0.47340240026598523	0.4628097337222292	0.48866831507060793	0.4157
MAR	0.95	lin	ev	1.0	1.0	1.0	0.7102523800605214	0.6983286598000291	0.7215464046349888	0.7105503954332056	0.6987297929291382	0.7216808366547568	0.517842558774403	0.4956963796701308	0.5351832875160037	0.4882399243332725	0.47262803281255655	0.5042330873809098	0.4881409282121004	0.4726731073274733	0.5040192718903286	0.46480000000000005
MAR	0.95	lin	mse	7.171230436397168e-30	1.2731126028353802e-30	2.392751857932302e-29	0.29404550949582325	0.2826127056558071	0.3070079695705914	0.29374662465018586	0.282012108390729	0.30660209063885313	0.4892147879220018	0.4707798944877673	0.5124995560925418	0.5190465349259438	0.5018886849400211	0.5320233335356305	0.5191477796186545	0.5020207689250652	0.5319964461594214	0.46480000000000005
MCAR	0.05	lin	ev	1.0	1.0	1.0	0.9770993892128856	0.973283025376981	0.981243418372947	0.9770734055929973	0.973262461555789	0.9811920509822472	0.9618096527897002	0.9552717878014383	0.9681417389299386	0.9389635149453598	0.9291646851551639	0.9470053924439843	0.9387944206614467	0.9292337415095245	0.9472405973868817	0.024999999999999998
MCAR	0.05	lin	mse	7.641910356616498e-30	1.926715767682185e-30	2.0698521051559153e-29	0.023218891927139114	0.019011795972612405	0.02678825955302738	0.023244990163464686	0.019063911113874378	0.026812250977679267	0.03872678748382087	0.032567317046926836	0.04497409469926745	0.06193377869697973	0.05337060687942714	0.07241642076193461	0.0621036235409825	0.05340751953417844	0.07233363338927813	0.024999999999999998
MCAR	0.15	lin	ev	1.0	1.0	1.0	0.9373894587708446	0.9320569970275419	0.9431934300857332	0.9373985566154757	0.9320746660198518	0.9432039354018713	0.9007471942489339	0.8875369197804408	0.9108677783246277	0.8739997118044662	0.8669879976669153	0.8854173633821434	0.873286992362336	0.8657520130704932	0.8848479306129402	0.07319999999999999
MCAR	0.15	lin	mse	7.80166364870421e-30	3.19734821288601e-30	1.5259823214234745e-29	0.06351212781583274	0.0577332685826413	0.06855435039951238	0.06350312296918634	0.05772295971033513	0.0685524064869332	0.10067419468348478	0.09057131213991432	0.11445972771297933	0.12774992105702304	0.11814389911243267	0.1321450699359603	0.12847335960274717	0.11873799987528691	0.13345642105802605	0.07319999999999999
MCAR	0.25	lin	ev	1.0	1.0	1.0	0.9020211040042099	0.8943565369290369	0.9096695870778512	0.9020082755199027	0.894325625146122	0.9096234645373322	0.8532374561229087	0.8438744484984944	0.8636655130252635	0.8183896713746792	0.7993612643841495	0.8309557021000777	0.8178953418164057	0.7987971066822313	0.8298808605148189	0.12179999999999999
MCAR	0.25	lin	mse	4.5280274995188146e-30	1.8038420649647496e-30	1.0762775368916509e-29	0.09943094624029275	0.09117552936848777	0.10884264548375241	0.09944432279552122	0.09122015354999571	0.10887796023634044	0.14895651706617574	0.1365509271694167	0.16092777088229585	0.18422616035128073	0.17171671937838773	0.20291067132172733	0.184733424836504	0.17242981000612811	0.20307579357827898	0.12179999999999999
MCAR	0.35	lin	ev	1.0	1.0	1.0	0.8661884487563525	0.8609674354477381	0.872992431780948	0.8661618180299964	0.8610078560673295	0.8729907473517158	0.796531749637656	0.7874343628033458	0.8104817100753638	0.7674497005398637	0.7531885767252176	0.7808893403013912	0.7668307171383963	0.7525329794544089	0.779279035522505	0.17229999999999995
MCAR	0.35	lin	mse	5.570293040043683e-30	1.77658182732704e-30	1.3965664867710626e-29	0.13572602589405364	0.12876685572437274	0.14154077446937266	0.1357533297285079	0.12880395125860117	0.14155902845242826	0.20634243876439765	0.1938311454346771	0.21482216479223376	0.23591642740691623	0.2241608128626411	0.25474747146076515	0.23654359400070946	0.2258115955549459	0.25482425533098274	0.17229999999999995
